User_Id,User_name,User_dob,User_email,User_created_date
1,Aman,05-01-1996,amannaik32@gmail.com,23-09-2005
2,Aakshay,05-03-1996,aakshay975@gmail.com,16-02-2014
3,Bittu yadhav,04-10-1993,yadhavbittu@gmail.com,20-01-2017
4,Banu prakash,05-01-1999,banuprakash@gmail.com,18-11-2018
5,Catharine,12-05-1995,catharinesuper@gmail.com,16-03-2014
6,Dharma reddy,05-05-1991,reddydharma214@gmail.com,30-12-2010
7,Eligen,17-07-1999,eligenpandit@gmail.com,13-06-2019
8,Fathima,15-11-1996,ffathimabegum@gmail.com,12-09-2016
9,Garima hussain,09-11-2001,hussainqueen23@gmail.com,23-12-2019
10,Harish,31-10-1998,rathodharish@gmail.com,27-09-2017
